HotelName,HotelAddress,HotelRating,ReviewDate,ReviewRating,ReviewTitle,ReviewText
몬드리안 서울 이태원,서울 용산구 장문로 23,10.0,2021-2,10.0,최고의 호캉스 몬드리안,"구정을 맞어 거리두기기준을 만족한채(4인가족)

그 힙하다는 몬드리안을 방문했네요

도착후 주차(지하4층까지 있고 넓네요)후에

바로 1층에서 한바퀴둘러봅니다

와이프와 애들 모두 그 웅장함과 트렌디함에 눈을 못때네요

친절한 2층 리셉션의 인도후 바로 입실....

방은 침대 두개로하였습니다 넓지는않지만 4인가족 충분히 누울수있네요^^

랍스터 바에서 점심후에 바로 수영장과 트레이닝룸 방문

수영장 물에서 노래 나옵니다^^ 깜놀

저녁에는 안톤(최현석셰프 수제맥주집)도 들르고

루프탑도 들려서 분위기 느껴봤네요

전체적인 느낌을 적어보자면

1) 친절한 직원들의 대응

2) 20-30대를 겨냥한 힙하고 트렌디한 환경

3) 편하고 놀만한 수영장 트레이닝룸(운동 기구 지립니다)

4) 분위기 끝장나는 바들

5) 커플 및 가족 전부 어우르는 멋진곳이네요

또 가고싶네요

이번에는 야외
수영장 오픈때 가보려합니다"
몬드리안 서울 이태원,서울 용산구 장문로 23,10.0,2020-10,10.0,몬드리안호텔 투숙했어요,시설 너무 깔끔하고 직원들도 항상 웃으면서 인사주시고 다른 5성급 호텔보다도 더 좋은 기억 가지고 갑니다. 서울에서 숙박한다면 무조건 다시 여기로 오고싶어요!!
몬드리안 서울 이태원,서울 용산구 장문로 23,10.0,2021-2,10.0,좋아요,"이태원의중심 센터 깔끔 이태원의중심 센터 깔끔
이태원의중심 센터 깔끔 이태원의중심 센터 깔끔
이태원의중심 센터 깔끔"
몬드리안 서울 이태원,서울 용산구 장문로 23,10.0,2021-2,10.0,몬드리안 서울 호텔 방문,"휴일에 친구와 서울에서 가까운 호텔로 예약했습니다 처음오는데 들어오자마자 호텔 전체에 나는향이 기분이 좋았습니다 에프터눈티도 예약했었는데 창가자리로 바로 안내해주셔서 편하게 즐겼습니다
호텔안 그림과 디자인들이 여행온 기분이 들게해주네요 ㅎㅎ"
몬드리안 서울 이태원,서울 용산구 장문로 23,10.0,2021-2,10.0,설연휴간 연박하면서 좋은 시간 보내고 가요~~,"인테리어가 너무 이국적이고 시설 모두 최고로 만족스러웠어요. 스태프분들도 친절하시고 특히 프론트 송세라님, 찬님께서 궁금증이나 애로사항 빠르게 잘 해결해주셔서 큰 도움 됐어요. 넘 좋은 시간이어서 룸도 일부러 업글해서 스위트로 즐겼어요~~

수영장은 오후8시부터 노키즈존으로 운영하다보니 조명이랑 분위기가 넘 좋았어요. 지하에 편의점 및 식당가도 이용하기 편리했구요. 다른 방문객분들도 좋은 시간 보내시길 바랍니다. 사진 넘 대충 찍어 ㅈㅅㅇ...ㅋㅋ"
몬드리안 서울 이태원,서울 용산구 장문로 23,10.0,2021-2,10.0,최고의 호텔 잘 쉬었다 갑니다,"트렌디한 디자인의 객실에 할리우드 베드까지 있어서 다른 호텔에서는 느껴보지 못한 색다른 경험의 투숙이었어요.
특히나 방문객의 이름을 미리 캐치하여 객실 셋팅에 미리 신경써주신 프론트의 Luna 직원의 서비스에 감동 받았어요.
직원들의 친절함 덕분에 더욱 좋은 추억을 남기고 갑니다.
요청 사항을 빠르고 친절하게 전달해주신 관련 부서 직원들의 친절함도 잊지 않겠습니다.
다른 계절에도 또 한번 찾아오고 싶은 호텔입니다. ❤️❤️"
몬드리안 서울 이태원,서울 용산구 장문로 23,10.0,2021-2,10.0,즐거운 시간이었습니다.,"친구 브라이덜샤워 겸 방문하였습니다. 리모델링한 호텔이라고 하여 기대했는데 방은 좁았지만 좁은 방을 잘 활용한 인테리어가 만족스러웠고, 세명이 지내기에도 충분하였습니다. 또, 김지혜 호텔리어님께서 브라이덜샤워라고 하니 더욱 신경써주셔서 친구들과 즐겁게 하루를 보낼 수 있었습니다. 프로페셔널한 김지혜매니저님 감사드립니다:) 할리우드 베드가 인상적이었어요. 다음에 또 방문할게요."
몬드리안 서울 이태원,서울 용산구 장문로 23,10.0,2021-2,10.0,서울시내 최고 힙한 호텔 추천합니다,"친구들과 조촐한 파티로 다녀왓는데
김지혜(제시카) 담당님 정말 짱이예요
문 열자마자 창문에 환영문구도 기분이 좋앗는데 이것저것 어메니티 요청때마다 다 친잘히 응대해주시고
침구도 너무 편합니다!!
덕분에 아주 기분좋게 꿀잠자고 왓어요
주변에 배달시켜 먹을곳도 많고 객실 내부도 은근 넓어요
침대도 엄~~~ 청 커요!
다음에 남자친구랑 또가려구요"
몬드리안 서울 이태원,서울 용산구 장문로 23,10.0,2021-2,10.0,예쁜스테이였어요:),"호텔의 첫인상은 트렌디하고 예쁜 인테리어가 인상적이었다
객실뿐 아니라 레스토랑 로비 전체적으로 트렌디한 감성과 아름다운 인테리어 덕분에 기분이 마냥 좋아졌다
1층의 웨딩데코는 싱그러운 느낌으로 힐링자체였고 로비바의 LED 화면과 형광 에스컬레이터 또한 굿 사진 스팟이었다
객실팀 줄리 과장님과 리나 대리님 그리고 끌레오 레스토랑 서버분들도 친절한 서비스와 안내로 너무 기분 좋은 숙박이었다
여자분들이 좋아할 요소가 많고 이쁜사진을 많이 담고싶다면 이곳을 강추한다
프로포즈, 커플기념일, 젊은감성을 느끼고 싶다면 몬드리안 호텔을 추천합니다"
몬드리안 서울 이태원,서울 용산구 장문로 23,10.0,2021-2,10.0,로비라운지에서 티타임,"작년에 오픈했을때 가보고 싶었는데 실재로 와보니까 너무너무 예쁜 호텔이었습니다🍵☕️😍
이태원에서 내려서 호텔까지 시간이 좀 걸리지만 내부가 정말 고급져요!"
